"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 02 19:10:06 GMT 2025","Sun Feb 02 19:10:07 GMT 2025","665","chromium","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Sun Feb 02 19:13:15 GMT 2025","Sun Feb 02 19:13:16 GMT 2025","769","firefox","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Sun Feb 02 19:13:13 GMT 2025","Sun Feb 02 19:13:14 GMT 2025","1391","firefox","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Sun Feb 02 19:13:11 GMT 2025","Sun Feb 02 19:13:12 GMT 2025","1561","chromium","template.spec.ts","Test Suite Name","","","Unique Test Name",""
"passed","Sun Feb 02 19:16:22 GMT 2025","Sun Feb 02 19:16:24 GMT 2025","2380","firefox","template.spec.ts","Test Suite Name","","","Unique Test Name",""
"broken","Sun Feb 02 19:12:10 GMT 2025","Sun Feb 02 19:13:10 GMT 2025","60263","chromium","search.func.spec.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name",""
"passed","Sun Feb 02 19:10:07 GMT 2025","Sun Feb 02 19:10:08 GMT 2025","562","chromium","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"broken","Sun Feb 02 19:15:20 GMT 2025","Sun Feb 02 19:16:20 GMT 2025","60442","firefox","search.func.spec.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name",""
