"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 24 04:19:31 GMT 2025","Mon Feb 24 04:19:32 GMT 2025","416","Setup","server.setup.ts","Verify the server is responsive.","","","Ensure the page ""/api/"" is responsive.","Ensure that the ""/api/"" page loads correctly by verifying ""/api/"" response and App name."
"passed","Mon Feb 24 04:19:41 GMT 2025","Mon Feb 24 04:19:43 GMT 2025","1488","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2",""
"passed","Mon Feb 24 04:19:40 GMT 2025","Mon Feb 24 04:19:41 GMT 2025","1616","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Mon Feb 24 04:19:32 GMT 2025","Mon Feb 24 04:19:32 GMT 2025","365","Setup","server.setup.ts","Verify the server is responsive.","","","Ensure the homepage loads correctly.","Ensure that the homepage loads correctly by verifying URL and ""/api/users/"" response."
"passed","Mon Feb 24 04:19:33 GMT 2025","Mon Feb 24 04:19:33 GMT 2025","491","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Mon Feb 24 04:19:34 GMT 2025","Mon Feb 24 04:19:34 GMT 2025","393","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Mon Feb 24 04:19:37 GMT 2025","Mon Feb 24 04:19:39 GMT 2025","1271","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Mon Feb 24 04:19:34 GMT 2025","Mon Feb 24 04:19:36 GMT 2025","1805","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Mon Feb 24 04:19:39 GMT 2025","Mon Feb 24 04:19:40 GMT 2025","530","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Mon Feb 24 04:19:36 GMT 2025","Mon Feb 24 04:19:37 GMT 2025","1210","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2",""
