"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 16 17:47:21 GMT 2025","Sun Feb 16 17:47:23 GMT 2025","1908","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"broken","Sun Feb 16 17:48:43 GMT 2025","Sun Feb 16 17:49:03 GMT 2025","20253","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2",""
"passed","Sun Feb 16 17:47:57 GMT 2025","Sun Feb 16 17:47:58 GMT 2025","555","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Sun Feb 16 17:47:58 GMT 2025","Sun Feb 16 17:48:00 GMT 2025","1980","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Sun Feb 16 17:47:20 GMT 2025","Sun Feb 16 17:47:21 GMT 2025","599","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Sun Feb 16 17:47:56 GMT 2025","Sun Feb 16 17:47:57 GMT 2025","1227","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"broken","Sun Feb 16 17:47:45 GMT 2025","Sun Feb 16 17:47:55 GMT 2025","10167","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2",""
"passed","Sun Feb 16 17:47:21 GMT 2025","Sun Feb 16 17:47:21 GMT 2025","420","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
